Country,GDP,Population,GDP per capita,GDP (billion dollars)
Solomon Islands,1303453622,636039,2049,1.303453622
Grenada,1126882296,110874,10164,1.126882296
Comoros,1068124330,813892,1312,1.06812433
Saint Kitts & Nevis,992007403,52045,19061,0.992007403
Vanuatu,862879789,285510,3022,0.862879789
Samoa,840927997,195352,4305,0.840927997
St. Vincent & Grenadines,785222509,109827,7150,0.785222509
American Samoa,634000000,55620,11399,0.634
Dominica,496727000,71458,6951,0.496727
Tonga,427659795,101998,4193,0.427659795
Sao Tome & Principe,392570293,207089,1896,0.392570293
Micronesia,336427500,532899,631,0.3364275
Palau,289823500,17808,16275,0.2898235
Marshall Islands,204173430,58058,3517,0.20417343
Kiribati,185572502,114158,1626,0.185572502
